BUCURESTI,2020/4/1,100
BUCURESTI,2020/4/2,250
BUCURESTI,2020/4/3,290
BUCURESTI,2020/4/4,310
BUCURESTI,2020/4/5,450
BUCURESTI,2020/4/6,500
BUCURESTI,2020/4/7,550
BUCURESTI,2020/4/8,590
BUCURESTI,2020/4/8,599
SUCEAVA,2020/4/1,100
SUCEAVA,2020/4/2,250
SUCEAVA,2020/4/3,290
SUCEAVA,2020/4/4,310
SUCEAVA,2020/4/5,450
SUCEAVA,2020/4/6,500
SUCEAVA,2020/4/7,550
SUCEAVA,2020/4/8,590
SUCEAVA,2020/4/9,1450
Moldova,2020/4/1,10
Moldova,2020/4/2,25
Moldova,2020/4/3,29
Moldova,2020/4/4,31
Moldova,2020/4/5,45
Moldova,2020/4/6,50
Moldova,2020/4/7,55
Moldova,2020/4/8,59
Moldova,2020/4/8,60
